experience_years,education_level,skills_score,company_size,overtime_hours,remote_ratio,salary
8.986856612044932,1.0,53.19331211388352,50.0,0.6145538752871095,0.22231373046151745,87334.56126396959
6.446942795315262,0.0,47.282658129486286,50.0,16.209835817437966,0.3054494171454198,78747.29050485844
9.59075415240277,3.0,75.79338060617481,200.0,2.4806837417858847,0.6138885208531877,138594.71789766048
13.092119425632102,1.0,72.8176361090675,10.0,2.44973829467639,0.07806054604654061,105919.95471552413
6.063386501106656,2.0,84.07421347689561,,1.5508581739994955,0.25186989416427485,122961.6992063934
6.063452172203278,0.0,81.03041239963039,10.0,0.8959856785292059,0.11971668846006413,104187.30822606047
13.316851262029566,0.0,57.872317108754935,10.0,3.554419663903628,0.7455284153324606,100020.85249031836
,1.0,,,6.422077314839293,0.16757709441327956,125794.23892560053
5.122102456260191,1.0,81.47540792731776,1000.0,4.001383339643218,0.21388948395137244,116639.18989000138
,2.0,80.36262354786003,,0.18046926654407225,0.19054918806638982,116563.85650027578
5.146329228750151,1.0,100.0,50.0,8.134691803469568,0.35433981981528545,128853.53570953899
5.137080985718972,0.0,,10.0,13.411484782316208,0.31184466016023954,111220.41292026035
7.9678490862641365,0.0,80.34870649832328,,2.9024573654678116,0.026666045242481905,103881.03581752714
0.0,0.0,78.47795808756294,50.0,2.2821966312376247,0.22754784091004177,76017.41874023527
0.10032866994786893,2.0,,50.0,1.3058759271253264,0.20938815984626422,101431.34656527921
4.750849883036109,1.0,61.240693454944434,200.0,1.7967518831477147,0.08749459253197625,97921.3542249645
2.948675518662305,2.0,61.45256113613425,1000.0,5.1704119133204625,0.41553182362320645,91143.96408734166
8.256989330381096,2.0,,50.0,7.351557552531157,0.14544264297940823,127865.97091833675
3.3679036979151564,0.0,57.15285866308641,10.0,2.0189505810582706,0.11249627662677555,78188.20029827535
1.350785194658834,0.0,78.89154228284883,1000.0,,0.06530522856161132,97499.44131646577
12.862595075686215,2.0,72.35248249804285,1000.0,2.9992070384830445,0.35879645468487553,132188.54168765584
6.0968947980538575,2.0,57.157148431118216,50.0,0.9328695854984315,0.34026899258839977,99568.54857350547
7.270112818751695,1.0,70.3879976543245,50.0,13.100759025325235,,102160.5567659439
